titre,type_bien,type_annonce,prix,surface_m2,nb_chambres,nb_salons,nb_sdb,quartier,ville,description,source,date_publication,caracteristiques,url
نيمرو من الأساتذة أفكرن,Land Plot,Vente,5100000,600.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو من الأساتذة أفكرن 5,100,000 MRU Land Plot 2 months ago • Tevragh Zeina سيدي محمد 1",voursa,2 months ago,"landmark: شارع 60, land_title: Yes, street_size: 25.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-من-الاساتذة-افكرن--fa86
نيمرو ف C5,Land Plot,Vente,1150000,180.00,,,,Teyarett,Nouakchott Nord,"نيمرو ف C5 1,150,000 MRU Land Plot 2 months ago • Teyarett محمد عبد الله ولد سيكه 1",voursa,2 months ago,"landmark: C5, land_title: Yes, street_size: 10.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-ف-c5-f9b5
فورصة ديبلكس للبيغ فا PRK,Duplex,Vente,3700000,300.00,5.0,2.0,2.0,Tevragh Zeina,Nouakchott Ouest,"فورصة ديبلكس للبيغ فا PRK 3,700,000 MRU Residential Property 2 months ago • Tevragh Zeina Ahmed 2",voursa,2 months ago,"landmark: ديبلكس, land_title: No, balconies: 2, street_size: 15.00",https://voursa.com/EN/categories/real_estate/ads/فورصة-ديبلكس-للبيغ-فا-prk-9a7b
شقة للإيجار فسانتر متير فاتح عل كدروه مستقل,Apartment,Vente,16000,200.00,3.0,1.0,2.0,Tevragh Zeina,Nouakchott Ouest,"شقة للإيجار فسانتر متير فاتح عل كدروه مستقل 16,000 MRU Residential Property 2 months ago • Tevragh Zeina mohamed 1",voursa,2 months ago,"landmark: كارفور ديار تتا, land_title: Yes, balconies: 1, street_size: 30.00",https://voursa.com/EN/categories/real_estate/ads/شقة-للايجار-فسانتر-متير-فاتح-عل-كدروه-مستقل--7f9c
فرصة شقةللإيجار اجديد فسانتر متير مستقل,Apartment,Vente,15000,200.00,3.0,1.0,2.0,Tevragh Zeina,Nouakchott Ouest,"فرصة شقةللإيجار اجديد فسانتر متير مستقل 15,000 MRU Residential Property 2 months ago • Tevragh Zeina mohamed 1",voursa,2 months ago,"landmark: مخبزة لأميدوري, land_title: Yes, balconies: 1, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/فرصة-شقةللايجار-اجديد-فسانتر-متير-مستقل--768c
ابرتماهات فكرفور قاريين فمصحة النجاح,Commercial and Industrial Real Estate,Vente,8000000,150.00,,,,Arafat,Nouakchott Sud,"ابرتماهات فكرفور قاريين فمصحة النجاح 8,000,000 MRU Commercial and Industrial Real Estate 2 months ago • Arafat محمد عبد الله ولد سيكه 1",voursa,2 months ago,"landmark: مصحة النجاح, land_title: No",https://voursa.com/EN/categories/real_estate/ads/ابرتماهات-فكرفور-قاريين-فمصحة-النجاح-be65
300م² فكرن محوطه من سكتير 5 F Nord,Land Plot,Vente,3900000,300.00,,,,Tevragh Zeina,Nouakchott Ouest,"300م² فكرن محوطه من سكتير 5 F Nord 3,900,000 MRU Land Plot 2 months ago • Tevragh Zeina سيدي محمد 1",voursa,2 months ago,"landmark: سكتير 5, land_title: Yes, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/300م-فكرن-محوطه-من-سكتير-5-f-nord--7b25
فرصة قطع أرضه للبيع,Land Plot,Vente,7600000,9170.00,,,,Dar Naim,Nouakchott Nord,"فرصة قطع أرضه للبيع 7,600,000 MRU Land Plot 2 months ago • Dar Naim علوش محمد 1",voursa,2 months ago,"landmark: فرصة 12نيمرو للبيع اعل كدروه فلمطار القديم, land_title: Yes, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/فرصة-قطع-ارضه-للبيع--8fd2
ابرتماهات اعل كدروه الطينطان عين الطلح,Commercial and Industrial Real Estate,Vente,8500000,180.00,,,,Teyarett,Nouakchott Nord,"ابرتماهات اعل كدروه الطينطان عين الطلح 8,500,000 MRU Commercial and Industrial Real Estate 2 months ago • Teyarett محمد عبد الله ولد سيكه 1",voursa,2 months ago,"landmark: بقالة الوفاء, land_title: No",https://voursa.com/EN/categories/real_estate/ads/ابرتماهات-اعل-كدروه-الطينطان-عين-الطلح--9f86
ابرتماهات فعين الطلح,Commercial and Industrial Real Estate,Vente,8500000,180.00,,,,Teyarett,Nouakchott Nord,"ابرتماهات فعين الطلح 8,500,000 MRU Commercial and Industrial Real Estate 2 months ago • Teyarett محمد عبد الله ولد سيكه 1",voursa,2 months ago,"landmark: كدروه الطينطان, land_title: No",https://voursa.com/EN/categories/real_estate/ads/ابرتماهات-فعين-الطلح--8739
دار أرضيه.,Villa,Vente,6500000,300.00,4.0,1.0,3.0,Tevragh Zeina,Nouakchott Ouest,"دار أرضيه. 6,500,000 MRU Residential Property 2 months ago • Tevragh Zeina Idoumou 1",voursa,2 months ago,"landmark: سكتير 5, land_title: No, balconies: 1, street_size: 15.00",https://voursa.com/EN/categories/real_estate/ads/دار-ارضيه--7ba4
نيمرو من المطار القديمة بلوك 43,Land Plot,Vente,3500000,400.00,,,,Dar Naim,Nouakchott Nord,"نيمرو من المطار القديمة بلوك 43 3,500,000 MRU Land Plot 2 months ago • Dar Naim Ahmed 2",voursa,2 months ago,"landmark: لمطار القديم, land_title: No, street_size: 12.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-من-المطار-القديمة-بلوك-43--bc96
شقة لاجار اجدبد قرب مخبزة لامبدوري,Apartment,Vente,15000,216.00,3.0,1.0,2.0,Tevragh Zeina,Nouakchott Ouest,"شقة لاجار اجدبد قرب مخبزة لامبدوري 15,000 MRU Residential Property 2 months ago • Tevragh Zeina mohamed 4",voursa,2 months ago,"landmark: مخبزة لامبدوري, land_title: Yes, balconies: 1, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/شقة-لاجار-اجدبد-قرب-مخبزة-لامبدوري--2a5c
موقع تجاري بدخول للبيع,Other,Vente,35000000,800.00,3.0,0.0,0.0,Tevragh Zeina,Nouakchott Ouest,"موقع تجاري بدخول للبيع 35,000,000 MRU Residential Property 2 months ago • Tevragh Zeina محمد 2",voursa,2 months ago,"landmark: كرفور بنبلاه, land_title: Yes, balconies: 0, street_size: 40.00",https://voursa.com/EN/categories/real_estate/ads/موقع-تجاري-بدخول-للبيع--aec9
نيمرو من الحي العسكري التيسير,Land Plot,Vente,400000,180.00,,,,Teyarett,Nouakchott Nord,"نيمرو من الحي العسكري التيسير 400,000 MRU Land Plot 2 months ago • Teyarett سيدي محمد 1",voursa,2 months ago,"landmark: التيسير, land_title: Yes, street_size: 12.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-من-الحي-العسكري-التيسير--6929
نيمرات فرصه,Land Plot,Vente,9500000,150.00,,,,Teyarett,Nouakchott Nord,"نيمرات فرصه 9,500,000 MRU Land Plot 2 months ago • Teyarett سارة 1",voursa,2 months ago,"landmark: بقالة الوفاء, land_title: Yes, street_size: 25.00",https://voursa.com/EN/categories/real_estate/ads/نيمرات-فرصه-6a2f
نيمرو أفكرن من الحي العسكري التيسير,Land Plot,Vente,530000,216.00,,,,Teyarett,Nouakchott Nord,"نيمرو أفكرن من الحي العسكري التيسير 530,000 MRU Land Plot 2 months ago • Teyarett سيدي محمد 1",voursa,2 months ago,"landmark: طريق اكجوجت, land_title: Yes",https://voursa.com/EN/categories/real_estate/ads/نيمرو-افكرن-من-الحي-العسكري-التيسير--f544
منزل للبيع كرفور طب إيطاليا,Other,Vente,700000,150.00,3.0,1.0,2.0,Arafat,Nouakchott Sud,"منزل للبيع كرفور طب إيطاليا 700,000 MRU Residential Property 2 months ago • Arafat Bcren brahm 1",voursa,2 months ago,"landmark: طب إيطاليا, land_title: Yes, balconies: 1, street_size: 12.00",https://voursa.com/EN/categories/real_estate/ads/منزل-للبيع-كرفور-طب-ايطاليا--8bad
نيمرو فملح سكتير 1,Land Plot,Vente,400000,150.00,,,,Toujounine,Nouakchott Nord,"نيمرو فملح سكتير 1 400,000 MRU Land Plot 2 months ago • Toujounine محمد عبد الله ولد سيكه 1",voursa,2 months ago,"landmark: سكتير 1, land_title: Yes, street_size: 6.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-فملح-سكتير-1-856f
300م فكرن من سكتير 5 للبيع,Land Plot,Vente,4300000,300.00,,,,Tevragh Zeina,Nouakchott Ouest,"300م فكرن من سكتير 5 للبيع 4,300,000 MRU Land Plot 2 months ago • Tevragh Zeina محمد 1",voursa,2 months ago,"landmark: سكتير 5, land_title: No, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/300م-فكرن-من-سكتير-5-للبيع--3906
نيمرو فلكصر ouest,Land Plot,Vente,4450000,468.00,,,,Ksar,Nouakchott Ouest,"نيمرو فلكصر ouest 4,450,000 MRU Land Plot 2 months ago • Ksar سيدي محمد 1",voursa,2 months ago,"landmark: مدارس العدالة الحرة, land_title: Yes, street_size: 18.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-فلكصر-ouest-d707
ذايك الشانتية للبيع أفي اليزو8h,Villa,Vente,2600000,150.00,3.0,1.0,2.0,Teyarett,Nouakchott Nord,"ذايك الشانتية للبيع أفي اليزو8h 2,600,000 MRU Residential Property 2 months ago • Teyarett عبدالله 3",voursa,2 months ago,"landmark: ذايك الشانتية للبيع أفي اليزو8h, land_title: No, balconies: 1",https://voursa.com/EN/categories/real_estate/ads/ذايك-الشانتية-للبيع-افي-اليزو8h-ebd5
سمعتين واحده اعلي كدروه للامل واحد عند اظهرها بالقرب من الرابع والعشرين للبيع,Duplex,Vente,3200000,240.00,1.0,1.0,1.0,Toujounine,Nouakchott Nord,"سمعتين واحده اعلي كدروه للامل واحد عند اظهرها بالقرب من الرابع والعشرين للبيع 3,200,000 MRU Residential Property 2 months ago • Toujounine محمد 1",voursa,2 months ago,"landmark: الرابع. والعشرين, land_title: Yes, balconies: 1, street_size: 60.00",https://voursa.com/EN/categories/real_estate/ads/سمعتين-واحده-اعلي-كدروه-للامل-واحد-عند-اظهرها-بالقرب-من-الرابع-والعشرين-للبيع--6f08
300م فكرن من سكتير 2 ابلوكات للبيع,Land Plot,Vente,3000000,300.00,,,,Tevragh Zeina,Nouakchott Ouest,"300م فكرن من سكتير 2 ابلوكات للبيع 3,000,000 MRU Land Plot 2 months ago • Tevragh Zeina محمد 1",voursa,2 months ago,"landmark: سكتير 2 ابلوكات, land_title: No, street_size: 15.00",https://voursa.com/EN/categories/real_estate/ads/300م-فكرن-من-سكتير-2-ابلوكات-للبيع--a7cf
نيمرو زين أفكرن من بلوكات سكتير 2,Land Plot,Vente,5500000,690.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو زين أفكرن من بلوكات سكتير 2 5,500,000 MRU Land Plot 2 months ago • Tevragh Zeina سيدي محمد 1",voursa,2 months ago,"landmark: الجامعه العصرية, land_title: Yes, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-زين-افكرن-من-بلوكات-سكتير-2--f3b3
نيمرو من بوش 9 فاتح الوره والكدام اكريب من كدروه للبيع,Land Plot,Vente,4100000,533.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو من بوش 9 فاتح الوره والكدام اكريب من كدروه للبيع 4,100,000 MRU Land Plot 2 months ago • Tevragh Zeina محمد 1",voursa,2 months ago,"landmark: بوش 9, land_title: No, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-من-بوش-9-فاتح-الوره-والكدام-اكريب-من-كدروه-للبيع--f0b0
فرصة سمعة للبيع في كارفور,Other,Vente,1400000,120.00,4.0,2.0,2.0,Arafat,Nouakchott Sud,"فرصة سمعة للبيع في كارفور 1,400,000 MRU Residential Property 2 months ago • Arafat بورصة محمدأحمد العقارية 1",voursa,2 months ago,"landmark: أم قصر, land_title: Yes, balconies: 2, street_size: 6.00",https://voursa.com/EN/categories/real_estate/ads/فرصة-سمعة-للبيع-في-كارفور--7d2b
300م فكرن من سكتير 4 للبيع,Land Plot,Vente,3600000,300.00,,,,Tevragh Zeina,Nouakchott Ouest,"300م فكرن من سكتير 4 للبيع 3,600,000 MRU Land Plot 2 months ago • Tevragh Zeina محمد 1",voursa,2 months ago,"landmark: سكتير 4, land_title: No, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/300م-فكرن-من-سكتير-4-للبيع--0671
دار فعرفات احذ بقالة الحوضين,Villa,Vente,1300000,150.00,3.0,1.0,2.0,Arafat,Nouakchott Sud,"دار فعرفات احذ بقالة الحوضين 1,300,000 MRU Residential Property 2 months ago • Arafat محمد عبد الله ولد سيكه 8",voursa,2 months ago,"landmark: بقالة الحوضين, land_title: Yes, balconies: 1, street_size: 18.00",https://voursa.com/EN/categories/real_estate/ads/دار-فعرفات-احذ-بقالة-الحوضين-4a85
نيمرو شارع زين ممتاز فصكوك كريب من كدروه,Land Plot,Vente,1800000,216.00,,,,Teyarett,Nouakchott Nord,"نيمرو شارع زين ممتاز فصكوك كريب من كدروه 1,800,000 MRU Land Plot 2 months ago • Teyarett محمدفال 1",voursa,2 months ago,"landmark: كدروه سنوار, land_title: No",https://voursa.com/EN/categories/real_estate/ads/نيمرو-شارع-زين-ممتاز-فصكوك-كريب-من-كدروه-5247
مرصة اعل كدروه جامبور,Commercial and Industrial Real Estate,Vente,85000000,800.00,,,,Tevragh Zeina,Nouakchott Ouest,"مرصة اعل كدروه جامبور 85,000,000 MRU Commercial and Industrial Real Estate 2 months ago • Tevragh Zeina محمد عبد الله ولد سيكه 1",voursa,2 months ago,"landmark: جامبور, land_title: No",https://voursa.com/EN/categories/real_estate/ads/مرصة-اعل-كدروه-جامبور--da38
نيمرو أفكرن من سكتير 2 بلوكات فرصة,Land Plot,Vente,5000000,600.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو أفكرن من سكتير 2 بلوكات فرصة 5,000,000 MRU Land Plot 2 months ago • Tevragh Zeina سيدي محمد 1",voursa,2 months ago,"landmark: شارع 60, land_title: Yes, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-افكرن-من-سكتير-2-بلوكات-فرصة--0137
نيمرو اعلي كدروه فمدال m لاول نص الي ماه فاتح اعلي كدروه للبيع,Land Plot,Vente,3100000,300.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو اعلي كدروه فمدال m لاول نص الي ماه فاتح اعلي كدروه للبيع 3,100,000 MRU Land Plot 2 months ago • Tevragh Zeina محمد 1",voursa,2 months ago,"landmark: مظال m لاول, land_title: No, street_size: 15.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-اعلي-كدروه-فمدال-m-لاول-نص-الي-ماه-فاتح-اعلي-كدروه-للبيع--a873
نمرو للبيـــــع انصوص في سكتير 4,Land Plot,Vente,2400000,200.00,,,,Tevragh Zeina,Nouakchott Ouest,"نمرو للبيـــــع انصوص في سكتير 4 2,400,000 MRU Land Plot 2 months ago • Tevragh Zeina بورصة عبد الله العقارية 1",voursa,2 months ago,"landmark: كدروه الشارة, land_title: No, street_size: 15.00",https://voursa.com/EN/categories/real_estate/ads/نمرو-للبيـــــع-انصوص-في-سكتير-4-21ae
ابرتماهات و مكزنتين اعل كدروه الفلوجة,Commercial and Industrial Real Estate,Vente,2650000,180.00,,,,Toujounine,Nouakchott Nord,"ابرتماهات و مكزنتين اعل كدروه الفلوجة 2,650,000 MRU Commercial and Industrial Real Estate 2 months ago • Toujounine محمد عبد الله ولد سيكه 1",voursa,2 months ago,"landmark: مجمع النزاهة, land_title: No",https://voursa.com/EN/categories/real_estate/ads/ابرتماهات-و-مكزنتين-اعل-كدروه-الفلوجة--b58a
فرصة نيمر من سكتير 1 بلوكات ينكسم,Land Plot,Vente,3300000,600.00,,,,Tevragh Zeina,Nouakchott Ouest,"فرصة نيمر من سكتير 1 بلوكات ينكسم 3,300,000 MRU Land Plot 2 months ago • Tevragh Zeina mohamed 1",voursa,2 months ago,"landmark: سكتير 1, land_title: Yes, street_size: 18.00",https://voursa.com/EN/categories/real_estate/ads/فرصة-نيمر-من-سكتير-1-بلوكات-ينكسم--4b9f
120م من مدلل m لاول فاتح منها 6م اعلي كدروه للبيع,Land Plot,Vente,1100000,120.00,,,,Tevragh Zeina,Nouakchott Ouest,"120م من مدلل m لاول فاتح منها 6م اعلي كدروه للبيع 1,100,000 MRU Land Plot 2 months ago • Tevragh Zeina محمد 1",voursa,2 months ago,"landmark: مدال m لاول, land_title: No, street_size: 30.00",https://voursa.com/EN/categories/real_estate/ads/120م-من-مدلل-m-لاول-فاتح-منها-6م-اعلي-كدروه-للبيع--82db
سكن مع كدروه الدخلاني ال واعد الحاكم احذ ربينة اليابان,Other,Vente,450000,150.00,2.0,1.0,1.0,Toujounine,Nouakchott Nord,"سكن مع كدروه الدخلاني ال واعد الحاكم احذ ربينة اليابان 450,000 MRU Residential Property 2 months ago • Toujounine محمد عبد الله ولد سيكه 1",voursa,2 months ago,"landmark: مدرسة اليابان, land_title: Yes, balconies: 1, street_size: 12.00",https://voursa.com/EN/categories/real_estate/ads/سكن-مع-كدروه-الدخلاني-ال-واعد-الحاكم-احذ-ربينة-اليابان-b474
سمعه مفروش ف اتو بينها نيمروين امع كدروه للبيع,Duplex,Vente,7000000,350.00,8.0,2.0,4.0,Tevragh Zeina,Nouakchott Ouest,"سمعه مفروش ف اتو بينها نيمروين امع كدروه للبيع 7,000,000 MRU Residential Property 2 months ago • Tevragh Zeina محمد 1",voursa,2 months ago,"landmark: اتو, land_title: Yes, balconies: 2, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/سمعه-مفروش-ف-اتو-بينها-نيمروين-امع-كدروه-للبيع--60be
سمعه اعل كدروه كورونا,Duplex,Vente,6000000,216.00,7.0,2.0,3.0,Teyarett,Nouakchott Nord,"سمعه اعل كدروه كورونا 6,000,000 MRU Residential Property 2 months ago • Teyarett محمد عبد الله ولد سيكه 10",voursa,2 months ago,"landmark: عباد الرحمن 2, land_title: Yes, balconies: 2, street_size: 30.00",https://voursa.com/EN/categories/real_estate/ads/سمعه-اعل-كدروه-كورونا-ab3f
فيلاارضي للبيع قرب كرفور اشريف فيه تهوي,Villa,Vente,3300000,375.00,5.0,2.0,3.0,Ksar,Nouakchott Ouest,"فيلاارضي للبيع قرب كرفور اشريف فيه تهوي 3,300,000 MRU Residential Property 2 months ago • Ksar البات 5",voursa,2 months ago,"landmark: البات, land_title: No, balconies: 2, street_size: 15.00",https://voursa.com/EN/categories/real_estate/ads/فيلاارضي-للبيع-قرب-كرفور-اشريف-فيه-تهوي-10a2
ابرتماهين فبوحديدة,Studio,Vente,1300000,150.00,4.0,2.0,2.0,Toujounine,Nouakchott Nord,"ابرتماهين فبوحديدة 1,300,000 MRU Residential Property 2 months ago • Toujounine محمد عبد الله ولد سيكه 1",voursa,2 months ago,"landmark: الربينه الثالثه, land_title: Yes, balconies: 2, street_size: 10.00",https://voursa.com/EN/categories/real_estate/ads/ابرتماهين-فبوحديدة-7dd7
نيمرو زين من تفرغ زين,Land Plot,Vente,5000000,600.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو زين من تفرغ زين 5,000,000 MRU Land Plot 2 months ago • Tevragh Zeina نورة 1",voursa,2 months ago,"landmark: كرفور شاره مع شارع صكوك, land_title: Yes, street_size: 15.00",https://voursa.com/EN/categories/real_estate/ads/-نيمرو-زين-من-تفرغ-زين--20b4
دار أكبيره للإيجار في الصكوك أجديده مافات أندخلت,Villa,Vente,20000,400.00,6.0,2.0,3.0,Teyarett,Nouakchott Nord,"دار أكبيره للإيجار في الصكوك أجديده مافات أندخلت 20,000 MRU Residential Property 2 months ago • Teyarett محمد فاضل 1",voursa,2 months ago,"landmark: كدروه السنوار, land_title: No, balconies: 1",https://voursa.com/EN/categories/real_estate/ads/دار-اكبيره-للايجار-في-الصكوك-اجديده-مافات-اندخلت-الا-ب-200-افانص-شهرين-3c94
نيمرو فاتح الوره والكدام من كتاب الضبط سكتير 1 للبيع,Land Plot,Vente,3300000,600.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو فاتح الوره والكدام من كتاب الضبط سكتير 1 للبيع 3,300,000 MRU Land Plot 2 months ago • Tevragh Zeina محمد 1",voursa,2 months ago,"landmark: كتاب الضبط, land_title: No, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-فاتح-الوره-والكدام-من-كتاب-الضبط-سكتير-1-للبيع--cfae
أبرتماه للإيجار بالقرب من كدروه السنوار أجديد مافات أندخل,Apartment,Vente,13000,180.00,2.0,1.0,2.0,Teyarett,Nouakchott Nord,"أبرتماه للإيجار بالقرب من كدروه السنوار أجديد مافات أندخل 13,000 MRU Residential Property 2 months ago • Teyarett محمد فاضل 1",voursa,2 months ago,"landmark: كدروه السنوار, land_title: No, balconies: 1",https://voursa.com/EN/categories/real_estate/ads/ابرتماه-للايجار-بالقرب-من-كدروه-السنوار-اجديد-مافات-اندخل-الا-ب-130-الف-افانص-شهرين-ed72
اربع اباتيك و دار اعل كدروه جاي من بانبلاه واعد سيتي اسمار,Commercial and Industrial Real Estate,Vente,16000000,500.00,,,,Tevragh Zeina,Nouakchott Ouest,"اربع اباتيك و دار اعل كدروه جاي من بانبلاه واعد سيتي اسمار 16,000,000 MRU Commercial and Industrial Real Estate 2 months ago • Tevragh Zeina محمد عبد الله ولد سيكه 1",voursa,2 months ago,"landmark: سيتي اسمار, land_title: No",https://voursa.com/EN/categories/real_estate/ads/اربع-اباتيك-و-دار-اعل-كدروه-جاي-من-بانبلاه-واعد-سيتي-اسمار-35d7
نيمرو فكرن ابرك فمدال m اسويت للبيع,Land Plot,Vente,3500000,800.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو فكرن ابرك فمدال m اسويت للبيع 3,500,000 MRU Land Plot 2 months ago • Tevragh Zeina محمد 1",voursa,2 months ago,"landmark: مدال m اسويت, land_title: No, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-فكرن-ابرك-فمدال-m-اسويت-للبيع--c1ba
Maison de 500 m² module i Carrefour etak elker 2,Land Plot,Vente,9000000,500.00,,,,Tevragh Zeina,Nouakchott Ouest,"Maison de 500 m² module i Carrefour etak elker 2 9,000,000 MRU Land Plot 2 months ago • Tevragh Zeina Mouhamed Fayta immobilier 1",voursa,2 months ago,"landmark: Etak Elkhere 2, land_title: No",https://voursa.com/EN/categories/real_estate/ads/maison-de-500-m-module-i-carrefour-etak-elker-2--fd93
نص نيمرو من سكتير3 قرب الجامعة فكرن,Land Plot,Vente,2600000,300.00,,,,Tevragh Zeina,Nouakchott Ouest,"نص نيمرو من سكتير3 قرب الجامعة فكرن 2,600,000 MRU Land Plot 2 months ago • Tevragh Zeina محمدفال 1",voursa,2 months ago,"landmark: الجامعة الجديدة, land_title: No",https://voursa.com/EN/categories/real_estate/ads/نص-نيمرو-من-سكتير3-قرب-الجامعة-فكرن-ec13
قطعة ارضية للبيع,Land Plot,Vente,70000,150.00,,,,Dar Naim,Nouakchott Nord,"قطعة ارضية للبيع 70,000 MRU Land Plot 2 months ago • Dar Naim الشيخ 1",voursa,2 months ago,"landmark: قرب التيسير على طريق أكجوجت, land_title: No",https://voursa.com/EN/categories/real_estate/ads/قطعة-ارضية-للبيع-ca86
نيمرو أفكرن من سكتير 2 بلوكات شارع 60م,Land Plot,Vente,7000000,690.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو أفكرن من سكتير 2 بلوكات شارع 60م 7,000,000 MRU Land Plot 2 months ago • Tevragh Zeina سيدي محمد 1",voursa,2 months ago,"landmark: الجامعه العصرية, land_title: Yes, street_size: 60.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-افكرن-من-سكتير-2-بلوكات-شارع-60م-c536
دار بينها نيمروين امع كدروه لكبيد ميت فيها t للببع,Villa,Vente,750000,150.00,3.0,1.0,2.0,Arafat,Nouakchott Sud,"دار بينها نيمروين امع كدروه لكبيد ميت فيها t للببع 750,000 MRU Residential Property 2 months ago • Arafat محمد 1",voursa,2 months ago,"landmark: لكبيد, land_title: Yes, balconies: 1, street_size: 6.00",https://voursa.com/EN/categories/real_estate/ads/دار-بينها-نيمروين-امع-كدروه-لكبيد-ميت-فيها-t-للببع--eb7e
فرصة نيمرو بالقرب من كدروه كورونا وايكد ينباع نصو ومساحة 240م٢,Land Plot,Vente,1850000,240.00,,,,Teyarett,Nouakchott Nord,"فرصة نيمرو بالقرب من كدروه كورونا وايكد ينباع نصو ومساحة 240م٢ 1,850,000 MRU Land Plot 2 months ago • Teyarett محمد فاضل 1",voursa,2 months ago,"landmark: كدروه كورونا, land_title: No",https://voursa.com/EN/categories/real_estate/ads/فرصة-نيمرو-بالقرب-من-كدروه-كورونا-مبيوع-الا-ب-18-مليون-و-500-وايكد-ينباع-نصو-ومساحة-240م-bd81
فرصة نيمر للبيع ف مديل A فاتح عل كدروه,Land Plot,Vente,5000000,600.00,,,,Tevragh Zeina,Nouakchott Ouest,"فرصة نيمر للبيع ف مديل A فاتح عل كدروه 5,000,000 MRU Land Plot 2 months ago • Tevragh Zeina mohamed 2",voursa,2 months ago,"landmark: مديل A, land_title: Yes, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/فرصة-نيمر-للبيع-ف-مديل-a-فاتح-عل-كدروه--46fb
فرصة نيمرو أف لكصر بالقرب من مجمع الأمانة مساحة 180م٢ واتواقطو تامين,Land Plot,Vente,800000,180.00,,,,Ksar,Nouakchott Ouest,"فرصة نيمرو أف لكصر بالقرب من مجمع الأمانة مساحة 180م٢ واتواقطو تامين 800,000 MRU Land Plot 2 months ago • Ksar محمد فاضل 1",voursa,2 months ago,"landmark: مجمع الأمانة, land_title: No",https://voursa.com/EN/categories/real_estate/ads/فرصة-نيمرو-اف-لكصر-بالقرب-من-مجمع-الامانة-مبيوع-الا-ب-8-ملايين-مساحة-180م-واتواقطو-تامين-650b
سمعه فالمشروع,Duplex,Vente,3200000,216.00,5.0,2.0,3.0,Teyarett,Nouakchott Nord,"سمعه فالمشروع 3,200,000 MRU Residential Property 2 months ago • Teyarett محمد عبد الله ولد سيكه 1",voursa,2 months ago,"landmark: المشروع, land_title: Yes, balconies: 1, street_size: 10.00",https://voursa.com/EN/categories/real_estate/ads/سمعه-اكريب-من-كدروه-السنوار-وبينه-اربع-اديار-عن-كورونا--5a34
دار فبوحديد,Apartment,Vente,1100000,150.00,3.0,1.0,1.0,Dar Naim,Nouakchott Nord,"دار فبوحديد 1,100,000 MRU Residential Property 2 months ago • Dar Naim الخدمات العامه 1",voursa,2 months ago,"landmark: مصحة الخليل, land_title: Yes, balconies: 1, street_size: 10.00",https://voursa.com/EN/categories/real_estate/ads/دار-فبوحديد--1777
نصف نمرو للبيـــــع في سكتير 3,Land Plot,Vente,2700000,300.00,,,,Tevragh Zeina,Nouakchott Ouest,"نصف نمرو للبيـــــع في سكتير 3 2,700,000 MRU Land Plot 2 months ago • Tevragh Zeina بورصة عبد الله العقارية 1",voursa,2 months ago,"landmark: كدروه الشارة, land_title: No, street_size: 12.00",https://voursa.com/EN/categories/real_estate/ads/نصف-نمرو-للبيـــــع-في-سكتير-3-b990
سوق للبيع عل كدرونه برميار,Other,Vente,3800000,100.00,15.0,0.0,2.0,Teyarett,Nouakchott Nord,"سوق للبيع عل كدرونه برميار 3,800,000 MRU Residential Property 2 months ago • Teyarett محمد 1",voursa,2 months ago,"landmark: مسجد ولد امحود, land_title: Yes, balconies: 0, street_size: 40.00",https://voursa.com/EN/categories/real_estate/ads/سوق-للبيع-عل-كدرونه-برميار-495e
